dateday,season,year,month,count,season_category
2011-03-22,summer,2011,Mar,2703,Ramai
2011-03-23,summer,2011,Mar,2121,Ramai
2011-03-24,summer,2011,Mar,1865,Ramai
2011-03-25,summer,2011,Mar,2210,Ramai
2011-03-26,summer,2011,Mar,2496,Ramai
2011-03-27,summer,2011,Mar,1693,Ramai
2011-03-28,summer,2011,Mar,2028,Ramai
2011-03-29,summer,2011,Mar,2425,Ramai
2011-03-30,summer,2011,Mar,1536,Ramai
2011-03-31,summer,2011,Mar,1685,Ramai
2011-04-01,summer,2011,Apr,2227,Ramai
2011-04-02,summer,2011,Apr,2252,Ramai
2011-04-03,summer,2011,Apr,3249,Ramai
2011-04-04,summer,2011,Apr,3115,Ramai
2011-04-05,summer,2011,Apr,1795,Ramai
2011-04-06,summer,2011,Apr,2808,Ramai
2011-04-07,summer,2011,Apr,3141,Ramai
2011-04-08,summer,2011,Apr,1471,Ramai
2011-04-09,summer,2011,Apr,2455,Ramai
2011-04-10,summer,2011,Apr,2895,Ramai
2011-04-11,summer,2011,Apr,3348,Ramai
2011-04-12,summer,2011,Apr,2034,Ramai
2011-04-13,summer,2011,Apr,2162,Ramai
2011-04-14,summer,2011,Apr,3267,Ramai
2011-04-15,summer,2011,Apr,3126,Ramai
2011-04-16,summer,2011,Apr,795,Ramai
2011-04-17,summer,2011,Apr,3744,Ramai
2011-04-18,summer,2011,Apr,3429,Ramai
2011-04-19,summer,2011,Apr,3204,Ramai
2011-04-20,summer,2011,Apr,3944,Ramai
2011-04-21,summer,2011,Apr,4189,Ramai
2011-04-22,summer,2011,Apr,1683,Ramai
2011-04-23,summer,2011,Apr,4036,Ramai
2011-04-24,summer,2011,Apr,4191,Ramai
2011-04-25,summer,2011,Apr,4073,Ramai
2011-04-26,summer,2011,Apr,4400,Ramai
2011-04-27,summer,2011,Apr,3872,Ramai
2011-04-28,summer,2011,Apr,4058,Ramai
2011-04-29,summer,2011,Apr,4595,Ramai
2011-04-30,summer,2011,Apr,5312,Ramai
2011-05-01,summer,2011,May,3351,Ramai
2011-05-02,summer,2011,May,4401,Ramai
2011-05-03,summer,2011,May,4451,Ramai
2011-05-04,summer,2011,May,2633,Ramai
2011-05-05,summer,2011,May,4433,Ramai
2011-05-06,summer,2011,May,4608,Ramai
2011-05-07,summer,2011,May,4714,Ramai
2011-05-08,summer,2011,May,4333,Ramai
2011-05-09,summer,2011,May,4362,Ramai
2011-05-10,summer,2011,May,4803,Ramai
2011-05-11,summer,2011,May,4182,Ramai
2011-05-12,summer,2011,May,4864,Ramai
2011-05-13,summer,2011,May,4105,Ramai
2011-05-14,summer,2011,May,3409,Ramai
2011-05-15,summer,2011,May,4553,Ramai
2011-05-16,summer,2011,May,3958,Ramai
2011-05-17,summer,2011,May,4123,Ramai
2011-05-18,summer,2011,May,3855,Ramai
2011-05-19,summer,2011,May,4575,Ramai
2011-05-20,summer,2011,May,4917,Ramai
2011-05-21,summer,2011,May,5805,Ramai
2011-05-22,summer,2011,May,4660,Ramai
2011-05-23,summer,2011,May,4274,Ramai
2011-05-24,summer,2011,May,4492,Ramai
2011-05-25,summer,2011,May,4978,Ramai
2011-05-26,summer,2011,May,4677,Ramai
2011-05-27,summer,2011,May,4679,Ramai
2011-05-28,summer,2011,May,4758,Ramai
2011-05-29,summer,2011,May,4788,Ramai
2011-05-30,summer,2011,May,4098,Ramai
2011-05-31,summer,2011,May,3982,Ramai
2011-06-01,summer,2011,Jun,3974,Ramai
2011-06-02,summer,2011,Jun,4968,Ramai
2011-06-03,summer,2011,Jun,5312,Ramai
2011-06-04,summer,2011,Jun,5342,Ramai
2011-06-05,summer,2011,Jun,4906,Ramai
2011-06-06,summer,2011,Jun,4548,Ramai
2011-06-07,summer,2011,Jun,4833,Ramai
2011-06-08,summer,2011,Jun,4401,Ramai
2011-06-09,summer,2011,Jun,3915,Ramai
2011-06-10,summer,2011,Jun,4586,Ramai
2011-06-11,summer,2011,Jun,4966,Ramai
2011-06-12,summer,2011,Jun,4460,Ramai
2011-06-13,summer,2011,Jun,5020,Ramai
2011-06-14,summer,2011,Jun,4891,Ramai
2011-06-15,summer,2011,Jun,5180,Ramai
2011-06-16,summer,2011,Jun,3767,Ramai
2011-06-17,summer,2011,Jun,4844,Ramai
2011-06-18,summer,2011,Jun,5119,Ramai
2011-06-19,summer,2011,Jun,4744,Ramai
2011-06-20,summer,2011,Jun,4010,Ramai
2011-06-21,fall,2011,Jun,4835,Sedang
2011-06-22,fall,2011,Jun,4507,Sedang
2011-06-23,fall,2011,Jun,4790,Sedang
2011-06-24,fall,2011,Jun,4991,Sedang
2011-06-25,fall,2011,Jun,5202,Sedang
2011-06-26,fall,2011,Jun,5305,Sedang
2011-06-27,fall,2011,Jun,4708,Sedang
2011-06-28,fall,2011,Jun,4648,Sedang
2011-06-29,fall,2011,Jun,5225,Sedang
2011-06-30,fall,2011,Jun,5515,Sedang
2011-07-01,fall,2011,Jul,5362,Sedang
2011-07-02,fall,2011,Jul,5119,Sedang
2011-07-03,fall,2011,Jul,4649,Sedang
2011-07-04,fall,2011,Jul,6043,Sedang
2011-07-05,fall,2011,Jul,4665,Sedang
2011-07-06,fall,2011,Jul,4629,Sedang
2011-07-07,fall,2011,Jul,4592,Sedang
2011-07-08,fall,2011,Jul,4040,Sedang
2011-07-09,fall,2011,Jul,5336,Sedang
2011-07-10,fall,2011,Jul,4881,Sedang
2011-07-11,fall,2011,Jul,4086,Sedang
2011-07-12,fall,2011,Jul,4258,Sedang
2011-07-13,fall,2011,Jul,4342,Sedang
2011-07-14,fall,2011,Jul,5084,Sedang
2011-07-15,fall,2011,Jul,5538,Sedang
2011-07-16,fall,2011,Jul,5923,Sedang
2011-07-17,fall,2011,Jul,5302,Sedang
2011-07-18,fall,2011,Jul,4458,Sedang
2011-07-19,fall,2011,Jul,4541,Sedang
2011-07-20,fall,2011,Jul,4332,Sedang
2011-07-21,fall,2011,Jul,3784,Sedang
2011-07-22,fall,2011,Jul,3387,Sedang
2011-07-23,fall,2011,Jul,3285,Sedang
2011-07-24,fall,2011,Jul,3606,Sedang
2011-07-25,fall,2011,Jul,3840,Sedang
2011-07-26,fall,2011,Jul,4590,Sedang
2011-07-27,fall,2011,Jul,4656,Sedang
2011-07-28,fall,2011,Jul,4390,Sedang
2011-07-29,fall,2011,Jul,3846,Sedang
2011-07-30,fall,2011,Jul,4475,Sedang
2011-07-31,fall,2011,Jul,4302,Sedang
2011-08-01,fall,2011,Aug,4266,Sedang
2011-08-02,fall,2011,Aug,4845,Sedang
2011-08-03,fall,2011,Aug,3574,Sedang
2011-08-04,fall,2011,Aug,4576,Sedang
2011-08-05,fall,2011,Aug,4866,Sedang
2011-08-06,fall,2011,Aug,4294,Sedang
2011-08-07,fall,2011,Aug,3785,Sedang
2011-08-08,fall,2011,Aug,4326,Sedang
2011-08-09,fall,2011,Aug,4602,Sedang
2011-08-10,fall,2011,Aug,4780,Sedang
2011-08-11,fall,2011,Aug,4792,Sedang
2011-08-12,fall,2011,Aug,4905,Sedang
2011-08-13,fall,2011,Aug,4150,Sedang
2011-08-14,fall,2011,Aug,3820,Sedang
2011-08-15,fall,2011,Aug,4338,Sedang
2011-08-16,fall,2011,Aug,4725,Sedang
2011-08-17,fall,2011,Aug,4694,Sedang
2011-08-18,fall,2011,Aug,3805,Sedang
2011-08-19,fall,2011,Aug,4153,Sedang
2011-08-20,fall,2011,Aug,5191,Sedang
2011-08-21,fall,2011,Aug,3873,Sedang
2011-08-22,fall,2011,Aug,4758,Sedang
2011-08-23,fall,2011,Aug,5895,Sedang
2011-08-24,fall,2011,Aug,5130,Sedang
2011-08-25,fall,2011,Aug,3542,Sedang
2011-08-26,fall,2011,Aug,4661,Sedang
2011-08-27,fall,2011,Aug,1115,Sedang
2011-08-28,fall,2011,Aug,4334,Sedang
2011-08-29,fall,2011,Aug,4634,Sedang
2011-08-30,fall,2011,Aug,5204,Sedang
2011-08-31,fall,2011,Aug,5058,Sedang
2011-09-01,fall,2011,Sep,5115,Sedang
2011-09-02,fall,2011,Sep,4727,Sedang
2011-09-03,fall,2011,Sep,4484,Sedang
2011-09-04,fall,2011,Sep,4940,Sedang
2011-09-05,fall,2011,Sep,3351,Sedang
2011-09-06,fall,2011,Sep,2710,Sedang
2011-09-07,fall,2011,Sep,1996,Sedang
2011-09-08,fall,2011,Sep,1842,Sedang
2011-09-09,fall,2011,Sep,3544,Sedang
2011-09-10,fall,2011,Sep,5345,Sedang
2011-09-11,fall,2011,Sep,5046,Sedang
2011-09-12,fall,2011,Sep,4713,Sedang
2011-09-13,fall,2011,Sep,4763,Sedang
2011-09-14,fall,2011,Sep,4785,Sedang
2011-09-15,fall,2011,Sep,3659,Sedang
2011-09-16,fall,2011,Sep,4760,Sedang
2011-09-17,fall,2011,Sep,4511,Sedang
2011-09-18,fall,2011,Sep,4274,Sedang
2011-09-19,fall,2011,Sep,4539,Sedang
2011-09-20,fall,2011,Sep,3641,Sedang
2011-09-21,fall,2011,Sep,4352,Sedang
2011-09-22,fall,2011,Sep,4795,Sedang
2011-09-23,winter,2011,Sep,2395,Ramai
2011-09-24,winter,2011,Sep,5423,Ramai
2011-09-25,winter,2011,Sep,5010,Ramai
2011-09-26,winter,2011,Sep,4630,Ramai
2011-09-27,winter,2011,Sep,4120,Ramai
2011-09-28,winter,2011,Sep,3907,Ramai
2011-09-29,winter,2011,Sep,4839,Ramai
2011-09-30,winter,2011,Sep,5202,Ramai
2011-10-01,winter,2011,Oct,2429,Ramai
2011-10-02,winter,2011,Oct,2918,Ramai
2011-10-03,winter,2011,Oct,3570,Ramai
2011-10-04,winter,2011,Oct,4456,Ramai
2011-10-05,winter,2011,Oct,4826,Ramai
2011-10-06,winter,2011,Oct,4765,Ramai
2011-10-07,winter,2011,Oct,4985,Ramai
2011-10-08,winter,2011,Oct,5409,Ramai
2011-10-09,winter,2011,Oct,5511,Ramai
2011-10-10,winter,2011,Oct,5117,Ramai
2011-10-11,winter,2011,Oct,4563,Ramai
2011-10-12,winter,2011,Oct,2416,Ramai
2011-10-13,winter,2011,Oct,2913,Ramai
2011-10-14,winter,2011,Oct,3644,Ramai
2011-10-15,winter,2011,Oct,5217,Ramai
2011-10-16,winter,2011,Oct,5041,Ramai
2011-10-17,winter,2011,Oct,4570,Ramai
2011-10-18,winter,2011,Oct,4748,Ramai
2011-10-19,winter,2011,Oct,2424,Ramai
2011-10-20,winter,2011,Oct,4195,Ramai
2011-10-21,winter,2011,Oct,4304,Ramai
2011-10-22,winter,2011,Oct,4308,Ramai
2011-10-23,winter,2011,Oct,4381,Ramai
2011-10-24,winter,2011,Oct,4187,Ramai
2011-10-25,winter,2011,Oct,4687,Ramai
2011-10-26,winter,2011,Oct,3894,Ramai
2011-10-27,winter,2011,Oct,2659,Ramai
2011-10-28,winter,2011,Oct,3747,Ramai
2011-10-29,winter,2011,Oct,627,Ramai
2011-10-30,winter,2011,Oct,3331,Ramai
2011-10-31,winter,2011,Oct,3669,Ramai
2011-11-01,winter,2011,Nov,4068,Ramai
2011-11-02,winter,2011,Nov,4186,Ramai
2011-11-03,winter,2011,Nov,3974,Ramai
2011-11-04,winter,2011,Nov,4046,Ramai
2011-11-05,winter,2011,Nov,3926,Ramai
2011-11-06,winter,2011,Nov,3649,Ramai
2011-11-07,winter,2011,Nov,4035,Ramai
2011-11-08,winter,2011,Nov,4205,Ramai
2011-11-09,winter,2011,Nov,4109,Ramai
2011-11-10,winter,2011,Nov,2933,Ramai
2011-11-11,winter,2011,Nov,3368,Ramai
2011-11-12,winter,2011,Nov,4067,Ramai
2011-11-13,winter,2011,Nov,3717,Ramai
2011-11-14,winter,2011,Nov,4486,Ramai
2011-11-15,winter,2011,Nov,4195,Ramai
2011-11-16,winter,2011,Nov,1817,Ramai
2011-11-17,winter,2011,Nov,3053,Ramai
2011-11-18,winter,2011,Nov,3392,Ramai
2011-11-19,winter,2011,Nov,3663,Ramai
2011-11-20,winter,2011,Nov,3520,Ramai
2011-11-21,winter,2011,Nov,2765,Ramai
2011-11-22,winter,2011,Nov,1607,Ramai
2011-11-23,winter,2011,Nov,2566,Ramai
2011-11-24,winter,2011,Nov,1495,Ramai
2011-11-25,winter,2011,Nov,2792,Ramai
2011-11-26,winter,2011,Nov,3068,Ramai
2011-11-27,winter,2011,Nov,3071,Ramai
2011-11-28,winter,2011,Nov,3867,Ramai
2011-11-29,winter,2011,Nov,2914,Ramai
2011-11-30,winter,2011,Nov,3613,Ramai
2011-12-01,winter,2011,Dec,3727,Ramai
2011-12-02,winter,2011,Dec,3940,Ramai
2011-12-03,winter,2011,Dec,3614,Ramai
2011-12-04,winter,2011,Dec,3485,Ramai
2011-12-05,winter,2011,Dec,3811,Ramai
2011-12-06,winter,2011,Dec,2594,Ramai
2011-12-07,winter,2011,Dec,705,Ramai
2011-12-08,winter,2011,Dec,3322,Ramai
2011-12-09,winter,2011,Dec,3620,Ramai
2011-12-10,winter,2011,Dec,3190,Ramai
2011-12-11,winter,2011,Dec,2743,Ramai
2011-12-12,winter,2011,Dec,3310,Ramai
2011-12-13,winter,2011,Dec,3523,Ramai
2011-12-14,winter,2011,Dec,3740,Ramai
2011-12-15,winter,2011,Dec,3709,Ramai
2011-12-16,winter,2011,Dec,3577,Ramai
2011-12-17,winter,2011,Dec,2739,Ramai
2011-12-18,winter,2011,Dec,2431,Ramai
2011-12-19,winter,2011,Dec,3403,Ramai
2011-12-20,winter,2011,Dec,3750,Ramai
2011-12-21,spring,2011,Dec,2660,Sepi
2011-12-22,spring,2011,Dec,3068,Sepi
2011-12-23,spring,2011,Dec,2209,Sepi
2011-12-24,spring,2011,Dec,1011,Sepi
2011-12-25,spring,2011,Dec,754,Sepi
2011-12-26,spring,2011,Dec,1317,Sepi
2011-12-27,spring,2011,Dec,1162,Sepi
2011-12-28,spring,2011,Dec,2302,Sepi
2011-12-29,spring,2011,Dec,2423,Sepi
2011-12-30,spring,2011,Dec,2999,Sepi
2011-12-31,spring,2011,Dec,2485,Sepi
2012-01-01,spring,2012,Jan,2294,Sepi
2012-01-02,spring,2012,Jan,1951,Sepi
2012-01-03,spring,2012,Jan,2236,Sepi
2012-01-04,spring,2012,Jan,2368,Sepi
2012-01-05,spring,2012,Jan,3272,Sepi
2012-01-06,spring,2012,Jan,4098,Sepi
2012-01-07,spring,2012,Jan,4521,Sepi
2012-01-08,spring,2012,Jan,3425,Sepi
2012-01-09,spring,2012,Jan,2376,Sepi
2012-01-10,spring,2012,Jan,3598,Sepi
2012-01-11,spring,2012,Jan,2177,Sepi
2012-01-12,spring,2012,Jan,4097,Sepi
2012-01-13,spring,2012,Jan,3214,Sepi
2012-01-14,spring,2012,Jan,2493,Sepi
2012-01-15,spring,2012,Jan,2311,Sepi
2012-01-16,spring,2012,Jan,2298,Sepi
2012-01-17,spring,2012,Jan,2935,Sepi
2012-01-18,spring,2012,Jan,3376,Sepi
2012-01-19,spring,2012,Jan,3292,Sepi
2012-01-20,spring,2012,Jan,3163,Sepi
2012-01-21,spring,2012,Jan,1301,Sepi
2012-01-22,spring,2012,Jan,1977,Sepi
2012-01-23,spring,2012,Jan,2432,Sepi
2012-01-24,spring,2012,Jan,4339,Sepi
2012-01-25,spring,2012,Jan,4270,Sepi
2012-01-26,spring,2012,Jan,4075,Sepi
2012-01-27,spring,2012,Jan,3456,Sepi
2012-01-28,spring,2012,Jan,4023,Sepi
2012-01-29,spring,2012,Jan,3243,Sepi
2012-01-30,spring,2012,Jan,3624,Sepi
2012-01-31,spring,2012,Jan,4509,Sepi
2012-02-01,spring,2012,Feb,4579,Sepi
2012-02-02,spring,2012,Feb,3761,Sepi
2012-02-03,spring,2012,Feb,4151,Sepi
2012-02-04,spring,2012,Feb,2832,Sepi
2012-02-05,spring,2012,Feb,2947,Sepi
2012-02-06,spring,2012,Feb,3784,Sepi
2012-02-07,spring,2012,Feb,4375,Sepi
2012-02-08,spring,2012,Feb,2802,Sepi
2012-02-09,spring,2012,Feb,3830,Sepi
2012-02-10,spring,2012,Feb,3831,Sepi
2012-02-11,spring,2012,Feb,2169,Sepi
2012-02-12,spring,2012,Feb,1529,Sepi
2012-02-13,spring,2012,Feb,3422,Sepi
2012-02-14,spring,2012,Feb,3922,Sepi
2012-02-15,spring,2012,Feb,4169,Sepi
2012-02-16,spring,2012,Feb,3005,Sepi
2012-02-17,spring,2012,Feb,4154,Sepi
2012-02-18,spring,2012,Feb,4318,Sepi
2012-02-19,spring,2012,Feb,2689,Sepi
2012-02-20,spring,2012,Feb,3129,Sepi
2012-02-21,spring,2012,Feb,3777,Sepi
2012-02-22,spring,2012,Feb,4773,Sepi
2012-02-23,spring,2012,Feb,5062,Sepi
2012-02-24,spring,2012,Feb,3487,Sepi
2012-02-25,spring,2012,Feb,2732,Sepi
2012-02-26,spring,2012,Feb,3389,Sepi
2012-02-27,spring,2012,Feb,4322,Sepi
2012-02-28,spring,2012,Feb,4363,Sepi
2012-02-29,spring,2012,Feb,1834,Sepi
2012-03-01,spring,2012,Mar,4990,Sepi
2012-03-02,spring,2012,Mar,3194,Sepi
2012-03-03,spring,2012,Mar,4066,Sepi
2012-03-04,spring,2012,Mar,3423,Sepi
2012-03-05,spring,2012,Mar,3333,Sepi
2012-03-06,spring,2012,Mar,3956,Sepi
2012-03-07,spring,2012,Mar,4916,Sepi
2012-03-08,spring,2012,Mar,5382,Sepi
2012-03-09,spring,2012,Mar,4569,Sepi
2012-03-10,spring,2012,Mar,4118,Sepi
2012-03-11,spring,2012,Mar,4911,Sepi
2012-03-12,spring,2012,Mar,5298,Sepi
2012-03-13,spring,2012,Mar,5847,Sepi
2012-03-14,spring,2012,Mar,6312,Sepi
2012-03-15,spring,2012,Mar,6192,Sepi
2012-03-16,spring,2012,Mar,4378,Sepi
2012-03-17,spring,2012,Mar,7836,Sepi
2012-03-18,spring,2012,Mar,5892,Sepi
2012-03-19,spring,2012,Mar,6153,Sepi
2012-03-20,spring,2012,Mar,6093,Sepi
2012-03-21,summer,2012,Mar,6230,Ramai
2012-03-22,summer,2012,Mar,6871,Ramai
2012-03-23,summer,2012,Mar,8362,Ramai
2012-03-24,summer,2012,Mar,3372,Ramai
2012-03-25,summer,2012,Mar,4996,Ramai
2012-03-26,summer,2012,Mar,5558,Ramai
2012-03-27,summer,2012,Mar,5102,Ramai
2012-03-28,summer,2012,Mar,5698,Ramai
2012-03-29,summer,2012,Mar,6133,Ramai
2012-03-30,summer,2012,Mar,5459,Ramai
2012-03-31,summer,2012,Mar,6235,Ramai
2012-04-01,summer,2012,Apr,6041,Ramai
2012-04-02,summer,2012,Apr,5936,Ramai
2012-04-03,summer,2012,Apr,6772,Ramai
2012-04-04,summer,2012,Apr,6436,Ramai
2012-04-05,summer,2012,Apr,6457,Ramai
2012-04-06,summer,2012,Apr,6460,Ramai
2012-04-07,summer,2012,Apr,6857,Ramai
2012-04-08,summer,2012,Apr,5169,Ramai
2012-04-09,summer,2012,Apr,5585,Ramai
2012-04-10,summer,2012,Apr,5918,Ramai
2012-04-11,summer,2012,Apr,4862,Ramai
2012-04-12,summer,2012,Apr,5409,Ramai
2012-04-13,summer,2012,Apr,6398,Ramai
2012-04-14,summer,2012,Apr,7460,Ramai
2012-04-15,summer,2012,Apr,7132,Ramai
2012-04-16,summer,2012,Apr,6370,Ramai
2012-04-17,summer,2012,Apr,6691,Ramai
2012-04-18,summer,2012,Apr,4367,Ramai
2012-04-19,summer,2012,Apr,6565,Ramai
2012-04-20,summer,2012,Apr,7290,Ramai
2012-04-21,summer,2012,Apr,6624,Ramai
2012-04-22,summer,2012,Apr,1027,Ramai
2012-04-23,summer,2012,Apr,3214,Ramai
2012-04-24,summer,2012,Apr,5633,Ramai
2012-04-25,summer,2012,Apr,6196,Ramai
2012-04-26,summer,2012,Apr,5026,Ramai
2012-04-27,summer,2012,Apr,6233,Ramai
2012-04-28,summer,2012,Apr,4220,Ramai
2012-04-29,summer,2012,Apr,6304,Ramai
2012-04-30,summer,2012,Apr,5572,Ramai
2012-05-01,summer,2012,May,5740,Ramai
2012-05-02,summer,2012,May,6169,Ramai
2012-05-03,summer,2012,May,6421,Ramai
2012-05-04,summer,2012,May,6296,Ramai
2012-05-05,summer,2012,May,6883,Ramai
2012-05-06,summer,2012,May,6359,Ramai
2012-05-07,summer,2012,May,6273,Ramai
2012-05-08,summer,2012,May,5728,Ramai
2012-05-09,summer,2012,May,4717,Ramai
2012-05-10,summer,2012,May,6572,Ramai
2012-05-11,summer,2012,May,7030,Ramai
2012-05-12,summer,2012,May,7429,Ramai
2012-05-13,summer,2012,May,6118,Ramai
2012-05-14,summer,2012,May,2843,Ramai
2012-05-15,summer,2012,May,5115,Ramai
2012-05-16,summer,2012,May,7424,Ramai
2012-05-17,summer,2012,May,7384,Ramai
2012-05-18,summer,2012,May,7639,Ramai
2012-05-19,summer,2012,May,8294,Ramai
2012-05-20,summer,2012,May,7129,Ramai
2012-05-21,summer,2012,May,4359,Ramai
2012-05-22,summer,2012,May,6073,Ramai
2012-05-23,summer,2012,May,5260,Ramai
2012-05-24,summer,2012,May,6770,Ramai
2012-05-25,summer,2012,May,6734,Ramai
2012-05-26,summer,2012,May,6536,Ramai
2012-05-27,summer,2012,May,6591,Ramai
2012-05-28,summer,2012,May,6043,Ramai
2012-05-29,summer,2012,May,5743,Ramai
2012-05-30,summer,2012,May,6855,Ramai
2012-05-31,summer,2012,May,7338,Ramai
2012-06-01,summer,2012,Jun,4127,Ramai
2012-06-02,summer,2012,Jun,8120,Ramai
2012-06-03,summer,2012,Jun,7641,Ramai
2012-06-04,summer,2012,Jun,6998,Ramai
2012-06-05,summer,2012,Jun,7001,Ramai
2012-06-06,summer,2012,Jun,7055,Ramai
2012-06-07,summer,2012,Jun,7494,Ramai
2012-06-08,summer,2012,Jun,7736,Ramai
2012-06-09,summer,2012,Jun,7498,Ramai
2012-06-10,summer,2012,Jun,6598,Ramai
2012-06-11,summer,2012,Jun,6664,Ramai
2012-06-12,summer,2012,Jun,4972,Ramai
2012-06-13,summer,2012,Jun,7421,Ramai
2012-06-14,summer,2012,Jun,7363,Ramai
2012-06-15,summer,2012,Jun,7665,Ramai
2012-06-16,summer,2012,Jun,7702,Ramai
2012-06-17,summer,2012,Jun,6978,Ramai
2012-06-18,summer,2012,Jun,5099,Ramai
2012-06-19,summer,2012,Jun,6825,Ramai
2012-06-20,summer,2012,Jun,6211,Ramai
2012-06-21,fall,2012,Jun,5905,Sedang
2012-06-22,fall,2012,Jun,5823,Sedang
2012-06-23,fall,2012,Jun,7458,Sedang
2012-06-24,fall,2012,Jun,6891,Sedang
2012-06-25,fall,2012,Jun,6779,Sedang
2012-06-26,fall,2012,Jun,7442,Sedang
2012-06-27,fall,2012,Jun,7335,Sedang
2012-06-28,fall,2012,Jun,6879,Sedang
2012-06-29,fall,2012,Jun,5463,Sedang
2012-06-30,fall,2012,Jun,5687,Sedang
2012-07-01,fall,2012,Jul,5531,Sedang
2012-07-02,fall,2012,Jul,6227,Sedang
2012-07-03,fall,2012,Jul,6660,Sedang
2012-07-04,fall,2012,Jul,7403,Sedang
2012-07-05,fall,2012,Jul,6241,Sedang
2012-07-06,fall,2012,Jul,6207,Sedang
2012-07-07,fall,2012,Jul,4840,Sedang
2012-07-08,fall,2012,Jul,4672,Sedang
2012-07-09,fall,2012,Jul,6569,Sedang
2012-07-10,fall,2012,Jul,6290,Sedang
2012-07-11,fall,2012,Jul,7264,Sedang
2012-07-12,fall,2012,Jul,7446,Sedang
2012-07-13,fall,2012,Jul,7499,Sedang
2012-07-14,fall,2012,Jul,6969,Sedang
2012-07-15,fall,2012,Jul,6031,Sedang
2012-07-16,fall,2012,Jul,6830,Sedang
2012-07-17,fall,2012,Jul,6786,Sedang
